products,cycle,phase,elapsed_s,private_bytes,managed_bytes,handles,gdi,user,threads,gc0,gc1,gc2,dispatcher_ms,pending_dispatcher,cache_entries,image_lookups,scan_ms,render_ms
100000,4,Rows,123.540,334192640,75260072,666,38,42,36,1624,1516,64,0.227,117,500,0,40.565,119.917
100000,4,Rows,123.791,334487552,72142852,666,40,42,36,1627,1518,65,0.225,117,500,0,66.245,180.277
100000,4,Grid,124.127,335040512,72987424,666,44,42,36,1631,1520,65,0.210,116,500,0,186.385,119.941
100000,4,Grid,124.291,335323136,75445452,666,46,42,36,1632,1521,65,0.200,116,500,0,40.374,119.256
100000,4,Grid,124.545,335314944,71932872,666,28,42,36,1635,1523,66,0.195,115,500,0,64.950,185.634
100000,4,Grid,124.733,335314944,73298528,666,30,42,36,1637,1525,66,0.200,115,500,0,62.254,121.313
100000,4,Grid,124.967,335040512,71719692,666,32,42,36,1640,1527,67,0.209,115,500,0,63.403,167.152
100000,4,Grid,125.141,335048704,73907328,666,34,42,36,1641,1528,67,0.202,115,500,0,42.776,127.570
100000,4,Grid,125.376,335613952,71710336,666,36,42,36,1644,1531,68,0.222,115,500,0,65.372,165.544
100000,4,Grid,125.550,335613952,75504072,666,38,42,36,1645,1532,68,0.206,115,500,0,68.139,101.686
100000,4,Grid,125.806,336195584,72041728,666,40,42,36,1648,1534,69,0.210,115,500,0,66.199,185.901
100000,4,Grid,126.007,336195584,74381948,666,42,42,36,1650,1535,69,0.210,115,500,0,75.396,121.882
100000,4,before_idle,127.367,353779712,72012412,701,32,44,36,1664,1548,70,0.106,141,500,0,0.000,0.000
100000,4,after_idle,147.414,332582912,74205740,698,26,42,34,1897,1781,70,0.143,131,500,0,0.000,0.000
100000,5,Rows,149.886,343670784,133231736,670,27,42,36,1928,1810,72,0.265,1168,500,0,81.143,241.636
100000,5,Rows,150.034,344145920,123304572,670,28,42,36,1931,1812,73,0.223,956,500,0,24.303,120.050
100000,5,Rows,152.125,341495808,74890184,664,30,42,35,1948,1824,75,0.215,147,500,0,1886.126,195.811
