products,cycle,phase,elapsed_s,private_bytes,managed_bytes,handles,gdi,user,threads,gc0,gc1,gc2,dispatcher_ms,pending_dispatcher,cache_entries,image_lookups,scan_ms,render_ms,native_input_pending
100000,3,before_idle,94.084,269168640,73018236,705,32,46,39,1342,1248,57,0.157,109,500,0,0.000,0.000,1
100000,3,after_idle,114.137,253227008,74938508,700,28,43,37,1663,1409,57,0.565,99,500,0,0.000,0.000,1
100000,4,Rows,116.321,299450368,125579396,672,27,43,39,1693,1436,58,0.230,1136,500,0,72.492,220.233,1
100000,4,Rows,116.420,311648256,130900716,672,28,43,39,1693,1436,58,0.419,916,500,0,7.866,87.288,1
100000,4,Rows,118.168,309506048,72471296,666,30,43,38,1712,1449,61,0.198,115,500,0,1576.860,168.729,1
100000,4,Rows,118.335,310394880,75084128,667,32,43,39,1713,1450,61,0.207,113,500,0,40.197,121.546,1
100000,4,Rows,118.574,310054912,71878424,667,29,43,39,1716,1452,62,0.199,108,500,0,60.726,174.510,1
100000,4,Rows,118.756,310288384,72794980,667,30,43,39,1718,1454,62,0.192,108,500,0,61.518,116.800,1
100000,4,Rows,118.902,310890496,75149896,667,32,43,39,1719,1455,62,0.189,108,500,0,36.764,106.471,1
100000,4,Rows,119.122,309878784,72123472,667,34,43,39,1722,1457,63,0.195,108,500,0,56.681,159.711,1
100000,4,Rows,119.289,310460416,72870324,667,36,43,39,1724,1459,63,0.202,108,500,0,54.576,109.688,1
100000,4,Rows,119.431,310812672,75205596,667,38,43,39,1725,1460,63,0.185,108,500,0,34.544,104.041,1
100000,4,Grid,119.791,311083008,72195728,667,42,43,39,1731,1464,65,0.199,107,500,0,170.331,156.254,1
100000,4,Grid,119.967,311189504,72576836,667,44,43,39,1733,1466,65,0.201,107,500,0,59.174,113.172,1
100000,4,Grid,120.119,312291328,75175248,667,46,43,39,1734,1467,65,0.187,106,500,0,38.923,110.615,1
100000,4,Grid,120.335,311406592,72141488,667,28,43,39,1737,1469,66,0.203,106,500,0,54.318,158.113,1
100000,4,Grid,120.506,311758848,72752116,667,30,43,39,1739,1471,66,0.195,106,500,0,57.249,110.496,1
100000,4,Grid,120.699,312041472,72580576,667,32,43,39,1741,1473,67,0.201,106,500,0,35.425,154.557,1
